Neighbourhood,RISP,AISP,CISP,neighbourhood_group
Catete,1,2,9,Zona Sul
Cosme Velho,1,2,9,Zona Sul
Flamengo,1,2,9,Zona Sul
Glória,1,2,9,Zona Central
Laranjeiras,1,2,9,Zona Sul
Botafogo,1,2,10,Zona Sul
Humaitá,1,2,10,Zona Sul
Urca,1,2,10,Zona Sul
Cachambi,1,3,23,Zona Norte
Méier,1,3,23,Zona Norte
Todos os Santos,1,3,23,Zona Norte
Abolição,1,3,24,Zona Norte
Água Santa,1,3,24,Zona Norte
Encantado,1,3,24,Zona Norte
Engenho de Dentro,1,3,24,Zona Norte
Pilares,1,3,24,Zona Norte
Piedade,1,3,24,Zona Norte
Engenho Novo,1,3,25,Zona Norte
Jacaré,1,3,25,Zona Norte
Jacarezinho,1,3,25,Zona Norte
Riachuelo,1,3,25,Zona Norte
Rocha,1,3,25,Zona Norte
Sampaio,1,3,25,Zona Norte
São Francisco Xavier,1,3,25,Zona Norte
Lins de Vasconcelos,1,3,26,Zona Norte
Del Castilho,1,3,44,Zona Norte
Engenho da Rainha,1,3,44,Zona Norte
Inhaúma,1,3,44,Zona Norte
Maria da Graça,1,3,44,Zona Norte
Tomás Coelho,1,3,44,Zona Norte
Catumbi,1,4,6,Zona Central
Cidade Nova,1,4,6,Zona Central
Estácio,1,4,6,Zona Central
Rio Comprido,1,4,6,Zona Central
Centro,1,4,6,Zona Central
Caju,1,4,17,Zona Central
Mangueira,1,4,17,Zona Central
São Cristóvão,1,4,17,Zona Central
Vasco da Gama,1,4,17,Zona Central
Gamboa,1,5,4,Zona Central
Santo Cristo,1,5,4,Zona Central
Saúde,1,5,4,Zona Central
Lapa,1,5,5,Zona Central
Paquetá,1,5,5,Zona Central
Santa Teresa,1,5,7,Zona Central
Maracanã,1,6,18,Zona Sul
Praça da Bandeira,1,6,18,Zona Sul
Tijuca,1,6,18,Zona Sul
Alto da Boa Vista,1,6,19,Zona Sul
Andaraí,1,6,20,Zona Sul
Grajaú,1,6,20,Zona Sul
Vila Isabel,1,6,20,Zona Sul
Brás de Pina,1,16,22,Zona Norte
Olaria,1,16,22,Zona Norte
Penha,1,16,22,Zona Norte
Penha Circular,1,16,22,Zona Norte
Cordovil,1,16,38,Zona Norte
Jardim América,1,16,38,Zona Norte
Parada de Lucas,1,16,38,Zona Norte
Vigário Geral,1,16,38,Zona Norte
Bancários,1,17,37,Zona Norte
Cacuia,1,17,37,Zona Norte
Cidade Universitária,1,17,37,Zona Norte
Cocotá,1,17,37,Zona Norte
Freguesia,1,17,37,Zona Norte
Galeão,1,17,37,Zona Norte
Jardim Carioca,1,17,37,Zona Norte
Jardim Guanabara,1,17,37,Zona Norte
Moneró,1,17,37,Zona Norte
Pitangueiras,1,17,37,Zona Norte
Portuguesa,1,17,37,Zona Norte
Praia da Bandeira,1,17,37,Zona Norte
Ribeira,1,17,37,Zona Norte
Tauá,1,17,37,Zona Norte
Zumbi,1,17,37,Zona Norte
Copacabana,1,19,12,Zona Sul
Leme,1,19,12,Zona Sul
Benfica,1,22,21,Zona Norte
Bonsucesso,1,22,21,Zona Norte
Higienópolis,1,22,21,Zona Norte
Manguinhos,1,22,21,Zona Norte
Maré,1,22,21,Zona Norte
Ramos,1,22,21,Zona Norte
Rocinha,1,23,11,Zona Sul
Ipanema,1,23,14,Zona Sul
Leblon,1,23,14,Zona Sul
Gávea,1,23,15,Zona Sul
Jardim Botânico,1,23,15,Zona Sul
Lagoa,1,23,15,Zona Sul
São Conrado,1,23,15,Zona Sul
Vidigal,1,23,15,Zona Sul
Cavalcanti,2,9,29,Zona Norte
Engenheiro Leal,2,9,29,Zona Norte
Madureira,2,9,29,Zona Norte
Turiaçu,2,9,29,Zona Norte
Vaz Lobo,2,9,29,Zona Norte
Oswaldo Cruz,2,9,29,Zona Norte
Cascadura,2,9,29,Zona Norte
Quintino Bocaiúva,2,9,29,Zona Norte
Bento Ribeiro,2,9,30,Zona Norte
Campinho,2,9,30,Zona Norte
Marechal Hermes,2,9,30,Zona Norte
Coelho Neto,2,9,40,Zona Norte
Colégio,2,9,40,Zona Norte
Honório Gurgel,2,9,40,Zona Norte
Rocha Miranda,2,9,40,Zona Norte
Campo dos Afonsos,2,14,33,Zona Oeste
Deodoro,2,14,33,Zona Oeste
Jardim Sulacap,2,14,33,Zona Oeste
Magalhães Bastos,2,14,33,Zona Oeste
Realengo,2,14,33,Zona Oeste
Vila Militar,2,14,33,Zona Oeste
Bangu,2,14,34,Zona Oeste
Gericinó,2,14,34,Zona Oeste
Padre Miguel,2,14,34,Zona Oeste
Senador Camará,2,14,34,Zona Oeste
Vila Valqueire,2,18,28,Zona Oeste
Praça Seca,2,18,28,Zona Oeste
Tanque,2,18,28,Zona Sudoeste
Anil,2,18,32,Zona Sudoeste
Cidade de Deus,2,18,32,Zona Sudoeste
Curicica,2,18,32,Zona Sudoeste
Gardênia Azul,2,18,32,Zona Sudoeste
Jacarepaguá,2,18,32,Zona Sudoeste
Taquara,2,18,32,Zona Sudoeste
Freguesia (Jacarepaguá),2,18,41,Zona Sudoeste
Pechincha,2,18,41,Zona Sudoeste
Paciência,2,27,36,Zona Oeste
Santa Cruz,2,27,36,Zona Oeste
Guaratiba,2,27,43,Zona Oeste
Pedra de Guaratiba,2,27,43,Zona Oeste
Sepetiba,2,27,43,Zona Oeste
Barra da Tijuca,2,31,16,Zona Sudoeste
Itanhangá,2,31,16,Zona Sudoeste
Joá,2,31,16,Zona Sudoeste
Recreio dos Bandeirantes,2,31,42,Zona Sudoeste
Barra de Guaratiba,2,31,42,Zona Oeste
Camorim,2,31,42,Zona Sudoeste
Grumari,2,31,42,Zona Sudoeste
Vargem Grande,2,31,42,Zona Sudoeste
Vargem Pequena,2,31,42,Zona Sudoeste
Campo Grande,2,40,35,Zona Oeste
Cosmos,2,40,35,Zona Oeste
Inhoaíba,2,40,35,Zona Oeste
Santíssimo,2,40,35,Zona Oeste
Senador Vasconcelos,2,40,35,Zona Oeste
Irajá,2,41,27,Zona Norte
Vicente de Carvalho,2,41,27,Zona Norte
Vila Kosmos,2,41,27,Zona Norte
Vila da Penha,2,41,27,Zona Norte
Vista Alegre,2,41,27,Zona Norte
Anchieta,2,41,31,Zona Norte
Guadalupe,2,41,31,Zona Norte
Parque Anchieta,2,41,31,Zona Norte
Ricardo de Albuquerque,2,41,31,Zona Norte
Acari,2,41,39,Zona Norte
Barros Filho,2,41,39,Zona Norte
Costa Barros,2,41,39,Zona Norte
Parque Colúmbia,2,41,39,Zona Norte
Pavuna,2,41,39,Zona Norte
